otu	A_mean	B_mean	logFC	PValue	level	phylum	class	order	family	genus	tax	DM3b3r1	DM3b3r2	DM3b3r3	DM3b3r4	DM3b3r5	DM3b3r6	DM3b3r7	DM3b3r8	DM3b3r9	DM3b3r10	DM3b3r11	DM3b3r12	DM3b3r13	DM3b3r14	DM3b3r15	WT4b3r1	WT4b3r2	WT4b3r3	WT4b3r4	WT4b3r5	WT4b3r6	WT4b3r7	WT4b3r8	WT4b3r9	WT4b3r10	WT4b3r11	WT4b3r12	WT4b3r13	WT4b3r14
OTU_529	0.013	0.006	1.26	1.41e-05	enriched	Acidobacteria	Acidobacteria-6	iii1-15			Acidobacteria	0.038	0.012	0.012	0.014	0.011	0.007	0.029	0.007	0.012	0.007	0.008	0.011	0.009	0.002	0.009	0.002	0.003	0.003	0.007	0.009	0.001	0.001	0.008	0.005	0.002	0.006	0.008	0.015	0.012
OTU_1134	0.001	0	2.52	0.000368	enriched	Acidobacteria	Acidobacteria-6	iii1-15	RB40		Acidobacteria	0.001	0.003	0.002	0.003	0	0.001	0	0	0	0.001	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0
OTU_321	0.019	0.008	1.38	9.63e-07	enriched	Acidobacteria	Acidobacteria-6	iii1-15	RB40		Acidobacteria	0.028	0.013	0.02	0.015	0.025	0.014	0.051	0.01	0.032	0.007	0.01	0.026	0.016	0.011	0.007	0.003	0.01	0.01	0.012	0.005	0.004	0.001	0.01	0.003	0.004	0.004	0.008	0.016	0.019
OTU_434	0.011	0.004	1.54	3.12e-05	enriched	Acidobacteria	Acidobacteria-6	Low Abundance			Acidobacteria	0.032	0.002	0.008	0.021	0.008	0.002	0.024	0.002	0.013	0.008	0.006	0.019	0.007	0.002	0.003	0	0.003	0.001	0.003	0.006	0.001	0.002	0.007	0.003	0	0.003	0.005	0.006	0.013
OTU_608	0.012	0.003	1.98	3.91e-09	enriched	Acidobacteria	[Chloracidobacteria]	Low Abundance	Ellin6075		Acidobacteria	0.01	0.008	0.011	0.008	0.006	0.017	0.03	0.007	0.021	0.007	0.008	0.017	0.012	0.005	0.009	0	0.002	0.005	0.004	0.002	0.001	0	0.01	0.001	0.001	0.002	0.001	0.005	0.007
OTU_34	0.525	0.301	0.88	0.00319	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Nocardia	Actinobacteria	0.528	0.274	1.46	0.346	0.131	0.481	0.419	0.874	0.634	0.717	0.416	0.436	0.172	0.434	0.552	0.148	0.484	0.435	0.233	0.254	0.239	0.098	0.333	0.213	0.526	0.562	0.389	0.136	0.17
OTU_7	2.471	1.472	0.77	0.00286	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Actinobacteria	2.384	4.984	2.993	1.496	3.732	3.368	2.585	1.807	1.785	2.409	3.1	1.414	1.332	1.455	2.217	0.655	2.326	2.04	0.859	1.705	1.362	1.588	2.049	1.618	2.548	0.891	1.147	0.883	0.945
OTU_122	0.068	0.028	1.31	3.15e-06	enriched	Bacteroidetes	Cytophagia	Cytophagales			Bacteroidetes	0.038	0.033	0.028	0.045	0.085	0.089	0.094	0.078	0.076	0.069	0.087	0.084	0.056	0.067	0.09	0.01	0.016	0.035	0.015	0.033	0.033	0.033	0.039	0.022	0.049	0.024	0.028	0.033	0.022
OTU_3036	0.057	0.029	1.04	4.43e-05	enriched	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		Bacteroidetes	0.082	0.06	0.051	0.036	0.063	0.075	0.079	0.04	0.064	0.047	0.05	0.04	0.055	0.028	0.085	0.026	0.025	0.035	0.027	0.03	0.017	0.028	0.019	0.022	0.024	0.043	0.038	0.044	0.029
OTU_102	0.076	0.031	1.37	0.000125	enriched	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		Bacteroidetes	0.053	0.007	0.077	0.031	0.112	0.066	0.075	0.059	0.073	0.067	0.127	0.075	0.027	0.065	0.23	0.026	0.023	0.035	0.009	0.044	0.051	0.014	0.02	0.016	0.056	0.035	0.038	0.026	0.035
