otu	A_mean	B_mean	logFC	PValue	level	phylum	class	order	family	genus	tax	TPS25a3r1	TPS25a3r2	TPS25a3r3	TPS25a3r4	TPS25a3r5	TPS25a3r6	TPS25a3r7	TPS25a3r8	TPS25a3r9	TPS25a3r10	TPS25a3r11	TPS25a3r12	TPS25a3r13	TPS25a3r14	TPS25a3r15	WT4b3r1	WT4b3r2	WT4b3r3	WT4b3r4	WT4b3r5	WT4b3r6	WT4b3r7	WT4b3r8	WT4b3r9	WT4b3r10	WT4b3r11	WT4b3r12	WT4b3r13	WT4b3r14
OTU_4623	0.001	0.096	-4	3.49e-05	depleted	Acidobacteria	Sva0725	Sva0725			Acidobacteria	0.001	0.001	0	0	0.001	0	0	0	0.002	0	0.003	0	0	0.001	0.001	1.334	0	0	0.005	0	0.003	0	0.001	0	0.002	0.001	0	0	0.002
OTU_329	0.012	0.055	-2.06	0.000109	depleted	Acidobacteria	Sva0725	Sva0725			Acidobacteria	0.014	0.009	0.008	0.004	0.004	0.004	0.007	0.011	0.012	0.02	0.006	0.037	0.006	0.007	0.029	0.014	0.024	0.024	0.315	0.128	0.035	0.069	0.026	0.007	0.003	0.026	0.021	0.066	0.012
OTU_10284	0.021	0.037	-0.67	0.00387	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	0.980	Actinobacteria	0.014	0.029	0.026	0.025	0.026	0.026	0.028	0.017	0.037	0.022	0.015	0.016	0.005	0.014	0.015	0.017	0.046	0.057	0.035	0.065	0.033	0.03	0.05	0.025	0.021	0.025	0.041	0.031	0.036
OTU_25	0.374	0.749	-0.9	0.000213	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Actinobacteria	0.19	0.416	0.656	0.223	0.589	0.39	0.373	0.262	0.415	0.302	0.305	0.416	0.398	0.228	0.454	0.576	0.816	1.214	0.646	1.294	0.712	0.943	0.656	0.444	1.08	0.459	0.383	0.627	0.634
OTU_5709	0.02	0.051	-1.14	0.00474	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catellatospora	Actinobacteria	0.006	0.01	0.019	0.011	0.023	0.016	0.018	0.02	0.034	0.025	0.009	0.015	0.045	0.016	0.027	0.007	0.058	0.051	0.015	0.045	0.067	0.047	0.023	0.009	0.003	0.026	0.194	0.131	0.037
OTU_8301	0.001	0.005	-2.2	0.00553	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae		Actinobacteria	0.001	0	0	0.004	0.001	0.001	0.001	0	0.001	0.003	0	0	0	0	0	0.004	0	0.001	0	0.015	0.004	0.001	0.003	0.001	0	0.003	0.033	0.001	0.002
OTU_10679	0.003	0.022	-2.51	0.00306	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	1.000	Actinobacteria	0.001	0.002	0.023	0.003	0.007	0.001	0.002	0	0.001	0.003	0.001	0.001	0.001	0.003	0.002	0.157	0.008	0.001	0	0.016	0.009	0.001	0.002	0	0	0.026	0.047	0.022	0.016
OTU_402	0.001	0.072	-4	5.01e-07	depleted	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	Actinobacteria	0.001	0.003	0.001	0.001	0.002	0.001	0.002	0.002	0.001	0.001	0.002	0.001	0.001	0.003	0	0.002	0.001	0.004	0.002	0.002	0.004	0.001	0.001	0	0.978	0.002	0.001	0.004	0.002
OTU_1222	0.001	0.004	-1.66	0.00331	depleted	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	Bacteroidetes	0.001	0.001	0.003	0	0.001	0.001	0	0	0.002	0.003	0	0	0.003	0.001	0.002	0.008	0	0.002	0.022	0.007	0.004	0.004	0.004	0	0.002	0.003	0.001	0.004	0.001
OTU_228	0.031	0.153	-2.2	0.00326	depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Bacteroidetes	0.048	0.039	0.023	0.001	0.101	0.001	0.011	0.003	0.077	0.007	0.059	0.006	0.083	0.001	0.006	0.002	1.049	0.273	0.168	0.011	0.021	0.052	0.056	0.003	0.048	0.072	0.139	0.138	0.107
OTU_1014	0.005	0.044	-3.32	4.52e-06	depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Bacteroidetes	0	0.032	0.003	0.004	0.006	0.003	0.005	0.003	0.004	0	0.003	0	0.005	0.001	0.002	0.005	0.352	0.037	0.003	0.002	0.008	0.144	0.006	0	0.008	0.005	0.024	0.002	0.026
OTU_425	0.006	0.028	-1.96	8.98e-05	depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Bacteroidetes	0	0.02	0.011	0.005	0.003	0.001	0.01	0.003	0.005	0.002	0.004	0.011	0.01	0.004	0.005	0.001	0.034	0.02	0.009	0.01	0.013	0.047	0.024	0.034	0.007	0.094	0.012	0.047	0.037
OTU_1163	0	0.001	-3.54	0.000751	depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.013	0	0	0	0
OTU_549	0	0.001	-1.98	0.00557	depleted	Bacteroidetes	Sphingobacteriia	Sphingobacteriales			Bacteroidetes	0	0.002	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.006	0.001	0	0.002	0	0	0.001	0.001	0.001	0	0.001	0.001	0.002	0
OTU_209	0.01	0.049	-2.37	1.96e-08	depleted	Bacteroidetes	Sphingobacteriia	Sphingobacteriales			Bacteroidetes	0.006	0.018	0.007	0.01	0.004	0.008	0.003	0.002	0.01	0.015	0.009	0.009	0.013	0.015	0.017	0.061	0.01	0.016	0.029	0.019	0.035	0.049	0.02	0.21	0.033	0.037	0.024	0.068	0.075
OTU_698	0.001	0.01	-2.67	0.00495	depleted	Chlorobi	Ignavibacteria	Low Abundance	Ignavibacteriaceae	0.510	Low Abundance	0	0.001	0	0.002	0.001	0.001	0	0.001	0.002	0.001	0	0.001	0.001	0.002	0.003	0	0.001	0.003	0.003	0.007	0.002	0.001	0.005	0	0.001	0.02	0.009	0.085	0.001
OTU_968	0	0.004	-3.62	0.000158	depleted	Chlorobi	SJA-28				Low Abundance	0	0.001	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0.001	0.014	0.004	0.017	0.005	0.001	0.001	0	0	0	0	0.001	0	0.013	0.001
OTU_48	0.16	0.399	-1.17	0.00127	depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Firmicutes	0.082	0.102	0.094	0.21	0.59	0.109	0.061	0.116	0.202	0.095	0.128	0.118	0.124	0.104	0.259	0.135	0.409	0.58	0.463	0.471	1.092	0.177	0.136	0.121	0.083	0.211	0.642	0.696	0.368
OTU_346	0.007	0.153	-4	0.000243	depleted	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Firmicutes	0.01	0.001	0.001	0.002	0.013	0.003	0.003	0.001	0.038	0.011	0.015	0.001	0.001	0.001	0.001	0.003	0.004	0.003	0.006	0.004	0.006	0	0.002	0	0.005	1.088	0.962	0.047	0.01
OTU_7170	0.001	0.012	-3.37	0.00148	depleted	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Firmicutes	0.001	0.001	0.001	0.001	0	0	0.001	0	0.004	0.001	0	0.001	0	0	0.003	0	0.001	0.004	0.001	0.001	0	0	0	0	0.002	0	0.156	0.004	0
OTU_915	0.002	0.02	-3.03	0.00199	depleted	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Firmicutes	0.001	0	0.001	0.001	0.001	0	0.001	0.007	0.001	0	0	0.001	0	0.014	0.001	0	0	0.003	0	0.001	0.004	0.002	0	0	0.001	0.004	0.195	0.01	0.061
OTU_89	0.026	0.045	-0.6	0.0039	depleted	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Low Abundance	0.011	0.019	0.021	0.028	0.037	0.026	0.018	0.034	0.024	0.032	0.015	0.029	0.032	0.016	0.045	0.018	0.019	0.08	0.037	0.079	0.03	0.035	0.029	0.026	0.055	0.044	0.04	0.095	0.04
OTU_8268	0.009	0.023	-1.18	0.00109	depleted	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		Proteobacteria	0.004	0.004	0.012	0.009	0.005	0.004	0.004	0.011	0.011	0.025	0.033	0.007	0.001	0.005	0.003	0.012	0.04	0.02	0.01	0.014	0.051	0.006	0.004	0.015	0.021	0.037	0.013	0.075	0.008
OTU_1043	0.001	0.009	-2.94	0.00158	depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	1.000		Proteobacteria	0	0.001	0	0.001	0.007	0	0.001	0.001	0.001	0	0.001	0	0	0	0.001	0.025	0	0.001	0	0	0.001	0.001	0.001	0	0.001	0.012	0.061	0.004	0.015
OTU_500	0.005	0.018	-1.76	0.00323	depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Proteobacteria	0.002	0.001	0	0.004	0.005	0.009	0.001	0.002	0.003	0.002	0.023	0.008	0.007	0.008	0.004	0.007	0.002	0.004	0.009	0.005	0.139	0.003	0.002	0.017	0.042	0.009	0.003	0.004	0.002
OTU_276	0.037	0.081	-1.06	0.00196	depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	Proteobacteria	0.023	0.058	0.089	0.02	0.064	0.029	0.021	0.071	0.038	0.019	0.04	0.022	0.032	0.01	0.014	0.364	0.056	0.06	0.04	0.044	0.056	0.02	0.034	0.012	0.033	0.058	0.148	0.12	0.092
OTU_470	0.001	0.083	-4	1.18e-05	depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Proteobacteria	0	0	0	0	0.004	0.002	0	0.002	0.002	0.001	0	0.001	0	0	0.003	1.074	0	0.005	0.042	0.001	0.002	0	0.006	0	0	0.003	0.003	0.028	0.002
OTU_657	0.001	0.003	-1.08	0.00386	depleted	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Proteobacteria	0	0.002	0.002	0.001	0.003	0.001	0	0.003	0.002	0.002	0.003	0	0.001	0.001	0.001	0.002	0.002	0.005	0.003	0.007	0.005	0.001	0.002	0.003	0.004	0.003	0.002	0.002	0.002
OTU_2460	0.044	0.416	-3.04	5.06e-05	depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Azohydromonas	Proteobacteria	0.005	0.004	0.011	0.005	0.076	0.015	0.006	0.08	0.006	0.015	0.031	0.009	0.356	0.002	0.042	0.034	0.029	0.023	3.239	0.395	0.328	0.006	0.049	0.01	1.334	0.308	0.021	0.027	0.027
OTU_378	0.04	0.088	-1.1	0.000318	depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Proteobacteria	0.044	0.034	0.031	0.033	0.019	0.045	0.039	0.068	0.027	0.019	0.046	0.056	0.046	0.046	0.052	0.059	0.026	0.042	0.342	0.054	0.085	0.074	0.056	0.196	0.101	0.057	0.05	0.058	0.032
OTU_7828	0.019	0.043	-1.03	0.000283	depleted	Proteobacteria	Betaproteobacteria	MND1			Proteobacteria	0.005	0.033	0.018	0.02	0.031	0.038	0.008	0.022	0.011	0.017	0.012	0.028	0.016	0.007	0.015	0.06	0.021	0.061	0.061	0.048	0.03	0.013	0.034	0.008	0.031	0.024	0.078	0.079	0.059
OTU_6956	0.011	0.019	-0.68	0.00216	depleted	Proteobacteria	Betaproteobacteria	MND1			Proteobacteria	0.004	0.011	0.006	0.022	0.014	0.007	0.012	0.011	0.017	0.012	0.008	0.011	0.009	0.007	0.009	0.011	0.011	0.023	0.02	0.03	0.016	0.006	0.022	0.02	0.017	0.02	0.021	0.027	0.018
OTU_137	0.01	0.045	-1.89	0.000402	depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Methyloversatilis	Proteobacteria	0.015	0.023	0.006	0.01	0.008	0.014	0.006	0.015	0.017	0.003	0.007	0	0.005	0.002	0.021	0.048	0.054	0.2	0.009	0.053	0.002	0.006	0.016	0.01	0.016	0.031	0.025	0.126	0.031
OTU_220	0.004	0.044	-3.39	0.00508	depleted	Proteobacteria	Deltaproteobacteria				Proteobacteria	0.001	0.001	0	0.006	0.004	0.006	0.001	0.028	0	0.002	0	0.003	0.003	0.004	0	0.172	0.011	0.023	0.104	0.028	0.008	0	0.001	0.003	0	0.022	0.058	0.119	0.06
OTU_382	0.007	0.024	-1.82	6.73e-05	depleted	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	1.000	Proteobacteria	0	0.005	0.002	0.004	0.005	0.013	0.006	0.007	0.006	0.009	0.015	0.015	0.005	0.01	0.007	0.008	0.007	0.004	0.008	0.007	0.01	0.085	0.011	0.08	0.008	0.029	0.01	0.046	0.018
OTU_173	0.005	0.019	-2	3e-07	depleted	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Proteobacteria	0.005	0.005	0.001	0.003	0.005	0.003	0.002	0.007	0.007	0.01	0.004	0.014	0.002	0.005	0.001	0.031	0.011	0.01	0.011	0.008	0.03	0.068	0.012	0.019	0.028	0.011	0.009	0.004	0.012
OTU_1573	0.002	0.023	-3.59	3.36e-06	depleted	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Proteobacteria	0.005	0.001	0.001	0.001	0	0.008	0.001	0.001	0	0.004	0.002	0.005	0.001	0.002	0.005	0.002	0.001	0.003	0.009	0.004	0.006	0.003	0.001	0.292	0.004	0.001	0	0.001	0
OTU_210	0.028	0.066	-1.25	0.000634	depleted	Proteobacteria	Deltaproteobacteria	MIZ46			Proteobacteria	0.022	0.031	0.019	0.039	0.02	0.023	0.02	0.024	0.034	0.038	0.033	0.019	0.016	0.056	0.025	0.017	0.024	0.039	0.046	0.045	0.037	0.108	0.023	0.215	0.058	0.048	0.065	0.061	0.145
OTU_1674	0	0	-2.34	0.0013	depleted	Proteobacteria	Deltaproteobacteria	MIZ46			Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0	0	0	0	0.001	0.001	0	0.001	0	0.002	0
OTU_41	0.447	1.295	-1.56	0.00318	depleted	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.095	0.481	0.911	0.223	0.534	0.48	0.168	0.3	1	0.165	0.781	0.183	1.004	0.171	0.209	9.19	0.333	0.406	0.456	0.514	0.718	0.71	0.398	0.102	0.339	0.826	2.312	0.696	1.136
OTU_47	0.127	0.237	-0.79	0.000467	depleted	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.244	0.095	0.085	0.124	0.142	0.121	0.061	0.174	0.098	0.088	0.104	0.072	0.094	0.191	0.213	0.147	0.175	0.279	0.282	0.31	0.126	0.165	0.257	0.403	0.207	0.217	0.246	0.28	0.219
